Date,Ret1,Ret2,Ret3,Ret4
2004-09-09,10260.200195,10342.790039,10313.360352,10289.099609
2004-09-10,10342.790039,10313.360352,10289.099609,10313.070313
2004-09-13,10313.360352,10289.099609,10313.070313,10314.759766
2004-09-14,10289.099609,10313.070313,10314.759766,10318.160156
2004-09-15,10313.070313,10314.759766,10318.160156,10231.360352
2004-09-16,10314.759766,10318.160156,10231.360352,10244.490234
2004-09-17,10318.160156,10231.360352,10244.490234,10284.459961
2004-09-20,10231.360352,10244.490234,10284.459961,10204.889648
2004-09-21,10244.490234,10284.459961,10204.889648,10244.929688
2004-09-22,10284.459961,10204.889648,10244.929688,10109.179688
2004-09-23,10204.889648,10244.929688,10109.179688,10038.900391
2004-09-24,10244.929688,10109.179688,10038.900391,10047.240234
2004-09-27,10109.179688,10038.900391,10047.240234,9988.540039
2004-09-28,10038.900391,10047.240234,9988.540039,10077.400391
2004-09-29,10047.240234,9988.540039,10077.400391,10136.240234
2004-09-30,9988.540039,10077.400391,10136.240234,10080.269531
2004-10-01,10077.400391,10136.240234,10080.269531,10192.650391
2004-10-04,10136.240234,10080.269531,10192.650391,10216.540039
2004-10-05,10080.269531,10192.650391,10216.540039,10177.679688
2004-10-06,10192.650391,10216.540039,10177.679688,10239.919922
2004-10-07,10216.540039,10177.679688,10239.919922,10125.400391
2004-10-08,10177.679688,10239.919922,10125.400391,10055.200195
2004-10-11,10239.919922,10125.400391,10055.200195,10081.969727
2004-10-12,10125.400391,10055.200195,10081.969727,10077.179688
2004-10-13,10055.200195,10081.969727,10077.179688,10002.330078
2004-10-14,10081.969727,10077.179688,10002.330078,9894.450195
2004-10-15,10077.179688,10002.330078,9894.450195,9933.379883
2004-10-18,10002.330078,9894.450195,9933.379883,9956.320313
2004-10-19,9894.450195,9933.379883,9956.320313,9897.620117
2004-10-20,9933.379883,9956.320313,9897.620117,9886.929688
2004-10-21,9956.320313,9897.620117,9886.929688,9865.759766
2004-10-22,9897.620117,9886.929688,9865.759766,9757.80957
2004-10-25,9886.929688,9865.759766,9757.80957,9749.990234
2004-10-26,9865.759766,9757.80957,9749.990234,9888.480469
2004-10-27,9757.80957,9749.990234,9888.480469,10002.030273
2004-10-28,9749.990234,9888.480469,10002.030273,10004.540039
2004-10-29,9888.480469,10002.030273,10004.540039,10027.469727
2004-11-01,10002.030273,10004.540039,10027.469727,10054.389648
2004-11-02,10004.540039,10027.469727,10054.389648,10035.730469
2004-11-03,10027.469727,10054.389648,10035.730469,10137.049805
2004-11-04,10054.389648,10035.730469,10137.049805,10314.759766
2004-11-05,10035.730469,10137.049805,10314.759766,10387.540039
2004-11-08,10137.049805,10314.759766,10387.540039,10391.30957
2004-11-09,10314.759766,10387.540039,10391.30957,10386.370117
2004-11-10,10387.540039,10391.30957,10386.370117,10385.480469
2004-11-11,10391.30957,10386.370117,10385.480469,10469.839844
2004-11-12,10386.370117,10385.480469,10469.839844,10539.009766
2004-11-15,10385.480469,10469.839844,10539.009766,10550.240234
2004-11-16,10469.839844,10539.009766,10550.240234,10487.650391
2004-11-17,10539.009766,10550.240234,10487.650391,10549.570313
2004-11-18,10550.240234,10487.650391,10549.570313,10572.549805
2004-11-19,10487.650391,10549.570313,10572.549805,10456.910156
2004-11-22,10549.570313,10572.549805,10456.910156,10489.419922
2004-11-23,10572.549805,10456.910156,10489.419922,10492.599609
2004-11-24,10456.910156,10489.419922,10492.599609,10520.30957
2004-11-26,10489.419922,10492.599609,10520.30957,10522.230469
2004-11-29,10492.599609,10520.30957,10522.230469,10475.900391
2004-11-30,10520.30957,10522.230469,10475.900391,10428.019531
2004-12-01,10522.230469,10475.900391,10428.019531,10590.219727
2004-12-02,10475.900391,10428.019531,10590.219727,10585.120117
2004-12-03,10428.019531,10590.219727,10585.120117,10592.209961
2004-12-06,10590.219727,10585.120117,10592.209961,10547.05957
2004-12-07,10585.120117,10592.209961,10547.05957,10440.580078
