"Week","investment","growth","derivatives","crisis","unemployment","banking","dow","economy","stocks","economics","hedge","invest","profit","leverage","risk","revenue","nasdaq","metals","politics","consumption","cash","dividend","finance","portfolio","conflict","oil","fed","gain","short","energy","credit","loss","earnings","stock","transaction","housing","nyse","success","bubble","trader","environment","greed","opportunity","inflation","money","sell","returns","society","chance","present","world","rich","war","return","markets","crash","freedom","office","headlines","house","culture","arts","buy","ore","food","bonds","tourism","holiday","health","train","fine","gold","marriage","water","cancer","car","debt","travel","happy","forex","restaurant","default","ring","lifestyle","labor","fond","religion","financial","rare","home","kitchen","garden","fun","movie","consume","gains"
2016-08-07,72,67,23,40,30,72,16,48,40,46,77,33,64,49,65,38,42,83,38,46,51,68,57,64,41,80,45,42,54,58,85,78,44,12,63,93,10,44,69,73,49,46,54,51,72,82,50,63,30,37,17,57,29,43,45,41,48,91,48,74,17,37,46,58,73,64,55,22,76,66,45,92,19,95,58,89,33,67,41,81,88,52,62,32,24,85,44,18,3,75,76,74,66,60,53,48
2016-08-14,65,63,23,40,30,70,15,50,40,49,72,32,66,45,61,37,36,79,32,43,48,58,56,63,49,76,47,42,47,61,86,74,32,11,59,91,9,45,68,71,53,53,58,51,73,83,45,65,30,38,18,46,37,45,45,25,48,89,42,75,19,38,48,57,76,60,53,20,76,65,46,82,19,86,59,83,32,65,43,76,86,48,64,31,29,82,47,18,6,75,76,73,65,59,55,42
2016-08-21,72,71,34,40,29,70,14,62,40,75,75,89,73,51,67,39,38,65,36,45,50,61,56,66,59,80,53,44,64,62,83,74,30,12,66,89,10,46,73,73,66,58,66,55,70,85,46,66,28,42,18,44,42,47,46,23,50,93,45,77,25,40,48,60,77,61,51,21,81,61,48,65,18,79,60,84,34,66,44,70,83,49,66,33,41,96,50,22,3,75,76,71,61,56,65,44
2016-08-28,73,74,41,45,30,75,14,71,39,82,76,63,75,55,73,42,32,64,36,56,54,61,55,65,67,79,49,43,61,70,83,73,32,13,71,85,10,52,75,71,77,61,74,61,72,85,45,69,33,53,19,45,43,49,51,25,55,91,52,75,27,41,48,55,76,78,56,22,78,61,48,54,19,83,63,85,34,62,43,66,81,51,66,34,70,85,61,31,0,79,74,71,66,56,67,40
2016-09-04,73,76,48,46,28,71,12,76,40,84,78,35,87,55,76,41,33,63,37,61,51,59,54,68,72,82,48,47,55,67,83,74,31,13,67,79,10,50,77,78,78,58,78,60,74,89,48,72,31,58,19,42,43,50,48,24,54,81,51,78,30,40,48,56,80,84,55,28,73,62,48,58,19,82,65,84,33,66,43,74,80,46,68,35,98,87,61,37,8,78,76,73,69,58,80,43
2016-09-11,76,86,64,52,30,71,17,86,43,95,78,33,87,54,80,51,36,76,39,69,51,66,60,68,80,77,51,47,84,76,82,76,32,15,66,80,11,55,79,67,94,62,82,70,74,83,47,75,31,64,18,46,43,52,49,26,60,84,52,75,33,40,46,57,75,89,53,23,84,68,52,57,19,78,68,82,35,61,44,74,76,47,69,34,17,74,66,32,8,78,73,72,65,53,77,48
2016-09-18,78,85,68,58,28,70,15,84,44,90,78,36,82,54,83,48,42,74,40,63,52,69,59,69,87,77,60,46,63,77,80,78,32,13,66,81,11,54,78,71,91,65,76,74,73,82,47,72,32,64,18,43,42,51,47,27,54,83,53,74,35,38,45,55,77,90,53,20,78,64,47,53,20,78,72,80,36,62,43,63,77,52,66,34,16,68,68,30,8,77,72,69,67,53,86,46
2016-09-25,78,85,84,58,28,74,15,84,46,96,79,39,86,57,86,48,40,82,54,70,50,65,59,69,87,80,52,48,59,84,81,72,33,15,63,79,11,53,77,69,88,63,74,74,74,82,53,73,30,63,17,46,44,53,51,44,56,86,54,74,35,37,44,57,78,92,55,23,79,96,47,53,19,77,71,79,43,59,43,68,76,52,64,34,15,63,74,29,8,76,76,67,68,54,86,51
2016-10-02,79,86,82,56,29,72,13,79,46,86,77,36,84,49,87,47,40,80,46,64,51,67,57,70,83,77,45,46,59,86,82,76,33,14,69,77,12,50,75,64,83,63,69,76,72,80,63,72,33,62,18,44,47,54,47,23,53,83,56,76,32,37,43,53,77,91,56,30,77,89,46,54,19,74,78,79,39,62,44,69,77,49,69,35,15,62,69,29,11,75,73,67,66,56,74,50
2016-10-09,79,84,80,55,30,70,14,81,43,96,76,36,84,50,87,49,37,82,64,66,50,63,57,73,79,78,47,47,53,89,81,75,39,15,67,76,11,50,75,65,82,62,70,72,71,85,51,70,33,62,19,46,52,56,50,25,51,87,56,80,33,37,44,56,78,85,54,35,78,84,49,56,19,74,77,79,41,60,45,74,76,49,69,34,15,68,70,25,8,75,75,67,67,57,85,46
2016-10-16,81,85,81,55,29,73,13,84,46,83,84,39,86,59,86,49,37,80,59,66,50,65,58,74,82,77,48,45,54,87,82,76,58,13,65,77,9,51,76,67,80,69,68,80,73,81,50,72,33,61,19,48,49,56,47,23,51,84,58,80,31,37,44,51,77,86,55,27,78,77,47,53,18,70,75,78,47,59,42,68,81,50,66,33,15,62,70,20,5,77,77,70,66,57,88,48
